Month,Dept,Weekly_Sales,CPI,Unemployment
2.0,1,24924.5,211.0963582,8.106
2.0,26,11737.12,211.0963582,8.106
2.0,17,13223.76,211.0963582,8.106
2.0,79,46729.77,211.0963582,7.50005223232607
2.0,55,21249.31,211.0963582,7.50005223232607
2.0,5,32229.38,211.0963582,7.50005223232607
2.0,7,17687.87305818113,211.0963582,7.50005223232607
2.0,83,17687.87305818113,211.0963582,8.106
2.0,9,17687.87305818113,211.0963582,8.106
2.0,87,17687.87305818113,211.0963582,8.106
2.0,34,17687.87305818113,211.0963582,8.106
,74,12251.94,211.0963582,8.106
,38,115564.35,211.0963582,8.106
,93,64494.87,211.0963582,8.106
,23,24146.49,211.0963582,8.106
,16,10217.55,211.0963582,8.106
2.0,95,106690.06,211.0963582,8.106
2.0,2,50605.27,211.0963582,8.106
2.0,4,39954.04,211.0963582,8.106
2.0,80,15694.17,211.0963582,8.106
2.0,8,40129.01,211.0963582,8.106
2.0,46,20837.77,211.0963582,8.106
2.0,90,76419.47,211.0963582,8.106
2.0,14,19466.91,211.0963582,8.106
2.0,94,56655.39,211.0963582,8.106
2.0,97,32153.04,211.0963582,8.106
2.0,49,11501.46,211.0963582,8.106
2.0,91,62424.14,211.0963582,8.106
2.0,3,13740.12,211.0963582,8.106
2.0,32,11875.84,211.0963582,8.106
2.0,81,30052.75,211.0963582,8.106
2.0,22,13623.98,211.0963582,8.106
2.0,82,19484.03,211.0963582,8.106
2.0,13,41969.29,211.0963582,8.106
2.0,40,66780.63,211.0963582,8.106
2.0,25,11609.5,211.0963582,8.106
2.0,10,30721.5,211.0963582,8.106
2.0,72,98499.12,211.0963582,8.106
2.0,92,139884.94,211.0963582,8.106
2.0,11,24213.18,211.0963582,8.106
2.0,98,10891.37,211.0963582,8.106
2.0,3,10887.84,211.2421698,8.106
2.0,79,36080.86,211.2421698,8.106
2.0,46,18826.47,211.2421698,8.106
,13,36476.4,211.2421698,8.106
,17,13403.66,211.2421698,8.106
,23,22812.41,211.2421698,8.106
,87,39254.57,211.2421698,8.106
,4,35351.21,211.2421698,8.106
,7,18310.31,211.2421698,8.106
2.0,14,18129.02,211.2421698,8.106
2.0,55,18892.81,211.2421698,8.106
2.0,11,21760.75,211.2421698,8.106
2.0,98,16309.73,211.2421698,8.106
2.0,32,14700.59,211.2421698,8.106
2.0,5,29620.81,211.2421698,8.106
2.0,9,16562.49,211.2421698,8.106
2.0,49,16139.05,211.2421698,8.106
2.0,80,16720.84,211.2421698,8.106
2.0,82,20949.36,211.2421698,8.106
2.0,93,70202.02,211.2421698,8.106
2.0,8,37334.83,211.2421698,8.106
2.0,81,30694.25,211.2421698,8.106
2.0,25,13268.75,211.2421698,8.106
2.0,94,62329.48,211.2421698,8.106
2.0,40,60828.25,211.2421698,8.106
2.0,26,10050.92,211.2421698,8.106
2.0,97,33874.47,211.2421698,8.106
2.0,38,94136.35,211.2421698,8.106
2.0,74,11857.96,211.2421698,8.106
2.0,10,31494.77,211.2421698,8.106
2.0,34,12852.83,211.2421698,8.106
2.0,22,14807.95,211.2421698,8.106
2.0,91,66937.0,211.2421698,8.106
2.0,95,111390.36,175.23625470075427,8.106
2.0,2,44682.74,211.2421698,8.106
2.0,90,79455.64,211.2421698,8.106
2.0,1,46039.49,211.2421698,8.106
2.0,16,11873.89,211.2421698,8.106
2.0,18,19006.5,211.2421698,8.106
2.0,67,17614.47,211.2421698,8.106
2.0,92,143081.42,211.2421698,8.106
2.0,72,79636.32,211.2421698,8.106
2.0,3,11523.47,211.2891429,8.106
2.0,93,62581.64,211.2891429,8.106
2.0,8,38717.6,211.2891429,8.106
2.0,7,19985.2,211.2891429,8.106
2.0,97,31585.78,211.2891429,8.106
2.0,13,37857.68,211.2891429,8.106
2.0,79,34141.62,211.2891429,8.106
2.0,80,15918.98,211.2891429,8.106
2.0,98,12087.95,211.2891429,8.106
2.0,25,10271.25,211.2891429,8.106
2.0,87,33593.8,211.2891429,8.106
2.0,17,13485.61,211.2891429,8.106
2.0,38,98672.59,211.2891429,8.106
2.0,74,13917.2,211.2891429,8.106
2.0,5,26468.27,211.2891429,8.106
2.0,81,28784.91,211.2891429,8.106
2.0,4,36826.95,211.2891429,8.106
2.0,32,20275.45,211.2891429,8.106
2.0,14,17491.36,211.2891429,8.106
2.0,9,15880.85,211.2891429,8.106
2.0,55,17404.53,211.2891429,8.106
2.0,16,13855.54,211.2891429,8.106
2.0,2,47928.89,211.2891429,8.106
2.0,18,17623.72,211.2891429,8.106
2.0,94,72212.32,211.2891429,8.106
2.0,40,68569.53,211.2891429,8.106
2.0,49,16736.17,211.2891429,8.106
2.0,1,41595.55,211.2891429,8.106
2.0,11,18706.21,211.2891429,8.106
2.0,82,20195.2,211.2891429,8.106
2.0,46,22414.94,211.2891429,8.106
2.0,10,29634.13,211.2891429,8.106
2.0,34,13006.5,211.2891429,8.106
2.0,26,10547.6,211.2891429,8.106
2.0,72,72377.79,211.2891429,8.106
2.0,23,21381.85,211.2891429,8.106
2.0,91,63011.44,211.2891429,8.106
2.0,22,12290.16,211.2891429,8.106
2.0,90,76091.36,211.2891429,8.106
2.0,95,107952.07,211.2891429,8.106
2.0,92,135066.75,211.2891429,8.106
2.0,67,16411.69,211.2891429,8.106
2.0,79,33309.85,211.3196429,8.106
2.0,49,16245.13,211.3196429,8.106
2.0,98,10871.74,211.3196429,8.106
2.0,8,35318.2,211.3196429,8.106
2.0,17,10667.06,211.3196429,8.106
2.0,3,11135.17,211.3196429,8.106
2.0,93,57630.02,211.3196429,8.106
2.0,55,16708.1,211.3196429,8.106
2.0,34,12005.0,211.3196429,8.106
2.0,13,37467.32,211.3196429,8.106
2.0,5,24101.89,211.3196429,8.106
2.0,38,92755.59,211.3196429,8.106
