date,open,high,low,close,volume
1986-09-10,1.5115,1.5238,1.5115,1.5238,3402
1986-09-11,1.5179,1.5179,1.4963,1.4963,158801
1986-09-12,1.4623,1.4623,1.45,1.4623,12503
1986-09-15,1.4746,1.4963,1.4746,1.4746,31197
1986-09-16,1.4623,1.4623,1.45,1.4623,3900
1986-09-17,1.4623,1.4623,1.4623,1.4623,0
1986-09-18,1.4378,1.4378,1.4255,1.4378,17300
1986-09-19,1.4378,1.4378,1.4378,1.4378,0
1986-09-22,1.4255,1.4255,1.4132,1.4255,15999
1986-09-23,1.4255,1.4255,1.4255,1.4255,0
1986-09-24,1.4009,1.4009,1.3945,1.3945,69002
1986-09-25,1.3395,1.3395,1.3395,1.3395,33400
1986-09-26,1.3395,1.3517,1.3395,1.3395,36398
1986-09-29,1.3395,1.3395,1.3395,1.3395,0
1986-09-30,1.3395,1.3454,1.3395,1.3454,18600
1986-10-01,1.3454,1.3454,1.3454,1.3454,0
1986-10-02,1.3272,1.3272,1.3272,1.3272,13001
1986-10-03,1.3336,1.3336,1.3336,1.3336,42501
1986-10-06,1.3336,1.3336,1.3208,1.3208,18998
1986-10-07,1.3272,1.3336,1.3272,1.3336,62401
1986-10-08,1.3272,1.3272,1.3208,1.3272,51602
1986-10-09,1.3395,1.3395,1.3395,1.3395,7801
1986-10-10,1.3208,1.3208,1.3208,1.3208,30301
1986-10-13,1.3272,1.3395,1.3272,1.3395,64199
1986-10-14,1.3395,1.3395,1.3272,1.3272,164001
1986-10-15,1.3395,1.3395,1.3395,1.3395,5201
1986-10-16,1.3395,1.3395,1.3395,1.3395,30301
1986-10-17,1.3272,1.3272,1.3208,1.3272,94102
1986-10-20,1.3208,1.3208,1.3085,1.3149,97599
1986-10-21,1.3149,1.3517,1.3085,1.3395,302902
1986-10-22,1.3395,1.3395,1.3272,1.3395,33400
1986-10-23,1.3026,1.3026,1.3026,1.3026,398
1986-10-24,1.3026,1.3149,1.3026,1.3026,801
1986-10-27,1.3085,1.3085,1.3085,1.3085,2998
1986-10-28,1.3149,1.3149,1.3149,1.3149,1698
1986-10-29,1.3395,1.3395,1.3395,1.3395,1698
1986-10-30,1.3395,1.3395,1.3395,1.3395,0
1986-10-31,1.3395,1.3395,1.3395,1.3395,0
1986-11-03,1.364,1.3763,1.364,1.3763,14301
1986-11-04,1.3763,1.3763,1.3763,1.3763,0
1986-11-05,1.3763,1.3763,1.3763,1.3763,0
1986-11-06,1.3763,1.3763,1.3763,1.3763,0
1986-11-07,1.3763,1.3763,1.3763,1.3763,3900
1986-11-10,1.3763,1.3763,1.3763,1.3763,398
1986-11-11,1.3763,1.3763,1.3763,1.3763,0
1986-11-12,1.3763,1.3763,1.3763,1.3763,0
1986-11-13,1.3763,1.3763,1.3763,1.3763,0
1986-11-14,1.3763,1.3763,1.3763,1.3763,0
1986-11-17,1.3272,1.3272,1.3272,1.3272,398
1986-11-18,1.3336,1.3336,1.3336,1.3336,398
1986-11-19,1.3336,1.3336,1.3208,1.3208,29001
1986-11-20,1.3208,1.3208,1.3208,1.3208,0
1986-11-21,1.3208,1.3208,1.3208,1.3208,0
1986-11-24,1.3581,1.364,1.3581,1.364,801
1986-11-25,1.364,1.364,1.3517,1.3517,801
1986-11-26,1.3581,1.364,1.3581,1.364,1698
1986-11-28,1.364,1.364,1.364,1.364,0
1986-12-01,1.364,1.364,1.364,1.364,0
1986-12-02,1.364,1.3699,1.3517,1.3699,128399
1986-12-03,1.364,1.364,1.364,1.364,36801
1986-12-04,1.3517,1.3517,1.3517,1.3517,30301
1986-12-05,1.364,1.364,1.364,1.364,100200
1986-12-08,1.364,1.364,1.364,1.364,0
1986-12-09,1.3886,1.3945,1.3886,1.3945,9499
1986-12-10,1.4009,1.4009,1.4009,1.4009,801
1986-12-11,1.4009,1.4073,1.4009,1.4009,161401
1986-12-12,1.3945,1.3945,1.3763,1.3945,36398
1986-12-15,1.3945,1.3945,1.3945,1.3945,0
1986-12-16,1.3886,1.3886,1.3886,1.3886,801
1986-12-17,1.3886,1.3886,1.3886,1.3886,0
1986-12-18,1.3886,1.3886,1.3886,1.3886,64199
1986-12-19,1.4009,1.4009,1.4009,1.4009,2998
1986-12-22,1.4442,1.4442,1.4442,1.4442,45998
1986-12-23,1.4559,1.4559,1.4559,1.4559,1698
1986-12-24,1.4559,1.4559,1.4559,1.4559,0
1986-12-26,1.4559,1.4559,1.4559,1.4559,0
1986-12-29,1.4559,1.4559,1.4559,1.4559,0
1986-12-30,1.4623,1.4746,1.4623,1.4623,42501
1986-12-31,1.4992,1.5115,1.4992,1.5115,5201
1987-01-02,1.5238,1.5238,1.5238,1.5238,6002
1987-01-05,1.4963,1.4963,1.4963,1.4963,3900
1987-01-06,1.4746,1.4746,1.4746,1.4746,1698
1987-01-07,1.4623,1.4623,1.4623,1.4623,801
1987-01-08,1.4623,1.4963,1.4559,1.4963,6002
1987-01-09,1.4963,1.4963,1.4963,1.4963,0
1987-01-12,1.4963,1.4963,1.4963,1.4963,0
1987-01-13,1.5484,1.5484,1.5484,1.5484,398
1987-01-14,1.5606,1.5606,1.5606,1.5606,398
1987-01-15,1.5729,1.5729,1.5729,1.5729,398
1987-01-16,1.6098,1.6221,1.6098,1.6098,1698
1987-01-19,1.659,1.6806,1.659,1.6806,12099
1987-01-20,1.6712,1.6712,1.659,1.6649,29499
1987-01-21,1.6098,1.6098,1.6098,1.6098,12099
1987-01-22,1.6098,1.6098,1.6098,1.6098,0
1987-01-23,1.6098,1.6098,1.6098,1.6098,0
1987-01-26,1.6098,1.6098,1.6098,1.6098,0
1987-01-27,1.6098,1.6098,1.6098,1.6098,0
1987-01-28,1.6098,1.6098,1.6098,1.6098,0
1987-01-29,1.6467,1.6467,1.6467,1.6467,398
1987-01-30,1.6467,1.659,1.6467,1.6467,2998
1987-02-02,1.6403,1.6403,1.6403,1.6403,4702
1987-02-03,1.6403,1.6467,1.6344,1.6344,12099
1987-02-04,1.6344,1.6344,1.6344,1.6344,0
1987-02-05,1.6344,1.6344,1.6344,1.6344,0
1987-02-06,1.6344,1.6344,1.6344,1.6344,0
1987-02-09,1.6344,1.6344,1.6344,1.6344,0
1987-02-10,1.6344,1.6344,1.6344,1.6344,0
1987-02-11,1.6344,1.6344,1.6344,1.6344,0
1987-02-12,1.6344,1.6344,1.6344,1.6344,398
1987-02-13,1.659,1.6712,1.659,1.6712,3402
1987-02-17,1.6958,1.7145,1.6958,1.7145,801
1987-02-18,1.7204,1.745,1.7204,1.745,4702
1987-02-19,1.7081,1.7081,1.7081,1.7081,3900
1987-02-20,1.7081,1.7204,1.6958,1.7204,15103
1987-02-23,1.6958,1.6958,1.6958,1.6958,801
1987-02-24,1.6958,1.6958,1.6958,1.6958,0
1987-02-25,1.6712,1.6712,1.6649,1.6712,6002
1987-02-26,1.6285,1.6285,1.6285,1.6285,2998
1987-02-27,1.5793,1.5793,1.5793,1.5793,801
1987-03-02,1.5852,1.5852,1.5852,1.5852,801
1987-03-03,1.6098,1.6098,1.6098,1.6098,801
1987-03-04,1.6221,1.6467,1.6221,1.6467,3900
1987-03-05,1.6344,1.6344,1.6098,1.6098,9902
1987-03-06,1.6221,1.6221,1.6221,1.6221,801
1987-03-09,1.6221,1.6221,1.6098,1.6221,4702
1987-03-10,1.6098,1.6098,1.6098,1.6098,6501
1987-03-11,1.6467,1.6467,1.6467,1.6467,1698
1987-03-12,1.6531,1.659,1.6531,1.6531,801
1987-03-13,1.6344,1.6344,1.6344,1.6344,801
1987-03-16,1.6344,1.6344,1.6344,1.6344,0
1987-03-17,1.6344,1.6344,1.6344,1.6344,0
1987-03-18,1.6344,1.6344,1.6344,1.6344,0
1987-03-19,1.6344,1.6344,1.6344,1.6344,0
1987-03-20,1.6344,1.6467,1.6344,1.6344,2998
1987-03-23,1.659,1.659,1.659,1.659,801
1987-03-24,1.659,1.659,1.659,1.659,801
1987-03-25,1.6221,1.6221,1.6221,1.6221,5201
1987-03-26,1.6221,1.6221,1.6221,1.6221,0
1987-03-27,1.6344,1.6344,1.6344,1.6344,1698
1987-03-30,1.6221,1.6221,1.6221,1.6221,801
1987-03-31,1.6221,1.6221,1.6221,1.6221,0
1987-04-01,1.6221,1.6221,1.6221,1.6221,0
1987-04-02,1.6221,1.6221,1.6221,1.6221,0
1987-04-03,1.6221,1.6221,1.6221,1.6221,0
1987-04-06,1.5975,1.5975,1.5729,1.5729,2998
1987-04-07,1.6221,1.6221,1.6221,1.6221,398
1987-04-08,1.6221,1.6221,1.6221,1.6221,0
1987-04-09,1.6221,1.6221,1.6221,1.6221,0
1987-04-10,1.6221,1.6221,1.6221,1.6221,0
1987-04-13,1.6039,1.6039,1.6039,1.6039,3900
1987-04-14,1.5911,1.5911,1.5911,1.5911,1698
1987-04-15,1.5911,1.6039,1.5911,1.5911,1698
1987-04-16,1.6098,1.6098,1.6098,1.6098,9902
1987-04-20,1.6098,1.6221,1.5975,1.5975,13001
1987-04-21,1.6221,1.6221,1.6221,1.6221,13001
1987-04-22,1.6221,1.6221,1.6221,1.6221,0
1987-04-23,1.6467,1.6467,1.6467,1.6467,801
1987-04-24,1.6467,1.659,1.6344,1.6344,6899
1987-04-27,1.6712,1.6958,1.6712,1.6958,9101
1987-04-28,1.6958,1.6958,1.6958,1.6958,0
1987-04-29,1.6712,1.6712,1.6712,1.6712,398
1987-04-30,1.6712,1.6712,1.6712,1.6712,0
1987-05-01,1.6776,1.6776,1.6776,1.6776,801
1987-05-04,1.6776,1.6776,1.6776,1.6776,0
1987-05-05,1.745,1.7637,1.745,1.745,85399
1987-05-06,1.745,1.745,1.745,1.745,0
1987-05-07,1.745,1.745,1.745,1.745,0
1987-05-08,1.745,1.745,1.745,1.745,101102
1987-05-11,1.745,1.745,1.7391,1.745,1698
1987-05-12,1.745,1.745,1.745,1.745,2102
1987-05-13,1.7666,1.7941,1.7666,1.7941,1698
1987-05-14,1.8,1.8,1.8,1.8,801
1987-05-15,1.8433,1.8526,1.8433,1.8526,3900
1987-05-18,1.8433,1.8433,1.8433,1.8433,1698
1987-05-19,1.8924,1.9293,1.8924,1.9047,12099
1987-05-20,1.8187,1.8187,1.8064,1.8128,3475399
1987-05-21,1.8128,1.8128,1.8,1.8,641400
1987-05-22,1.8064,1.8187,1.8064,1.8128,1276799
1987-05-26,1.8064,1.8064,1.8064,1.8064,313297
1987-05-27,1.8064,1.8064,1.7204,1.7327,1397901
1987-05-28,1.7204,1.7204,1.7081,1.7145,267300
1987-05-29,1.7081,1.7081,1.7081,1.7081,81101
1987-06-01,1.6958,1.6958,1.6958,1.6958,104100
1987-06-02,1.7145,1.7263,1.7145,1.7145,133599
1987-06-03,1.7145,1.8187,1.7081,1.7882,1016397
1987-06-04,1.7327,1.7327,1.6958,1.6958,8390897
1987-06-05,1.7263,1.745,1.7263,1.7327,1596602
1987-06-08,1.7204,1.7327,1.7204,1.7327,13001
1987-06-09,1.745,1.7637,1.7391,1.7573,188300
1987-06-10,1.7637,1.7818,1.745,1.745,49001
1987-06-11,1.7696,1.7882,1.7696,1.7882,91099
1987-06-12,1.8679,1.8742,1.8615,1.8679,2070997
1987-06-15,1.8679,1.8679,1.8556,1.8556,36398
1987-06-16,1.9539,1.9539,1.917,1.9539,1734601
1987-06-17,1.917,1.917,1.8988,1.9047,134098
1987-06-18,1.8615,1.8679,1.8556,1.8556,4702
1987-06-19,1.8433,1.8433,1.831,1.8369,48598
